source,source_indicator_code,original_title,decision,player_title,reason
FAOSTAT,QCL:'21116:5320,"Most Meat of goat, fresh or chilled producing animals",excluded,,Technical animal-input count removed.
FAOSTAT,QCL:'02954:5320,Most Raw hides and skins of goats or kids producing animals,excluded,,Technical animal-input count removed.
FAOSTAT,QCL:'21116:5510,"Largest Meat of goat, fresh or chilled production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'F1783:5510,Largest Eggs Primary production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'21113.01:5417,"Highest Meat of pig with the bone, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'F1804:5312,"Largest Citrus Fruit, Total harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'F1804:5510,"Largest Citrus Fruit, Total production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01312:5312,Largest Bananas harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01312:5510,Largest Bananas production,approved,Largest bananas production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01323:5510,Largest Oranges production,approved,Largest oranges production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01359.90:5412,"Highest Other fruits, n.e.c. yield",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01323:5312,Largest Oranges harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01970:5312,Largest Unmanufactured tobacco harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01970:5510,Largest Unmanufactured tobacco production,approved,Largest tobacco production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01322:5510,Largest Lemons and limes production,approved,Largest lemons and limes production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01322:5312,Largest Lemons and limes harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'02910:5510,Largest Natural honey production,approved,Largest honey production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01709.90:5412,Highest Other pulses n.e.c. yield,excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01530:5312,Largest Sweet potatoes harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'02132:5111,Largest Asses stocks,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'F17530:5412,"Highest Fibre Crops, Fibre Equivalent yield",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01233:5312,Largest Eggplants (aubergines) harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01316:5510,"Largest Mangoes, guavas and mangosteens production",approved,"Largest mangoes, guavas, and mangosteens production","Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01213:5312,Largest Cauliflowers and broccoli harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01341:5510,Largest Apples production,approved,Largest apples production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01802:5412,Highest Sugar cane yield,approved,Highest sugarcane yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01341:5312,Largest Apples harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01520.01:5412,"Highest Cassava, fresh yield",approved,Highest cassava yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01233:5412,Highest Eggplants (aubergines) yield,approved,Highest eggplants yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01520.01:5510,"Largest Cassava, fresh production",approved,Largest cassava production,"Recognizable, clear measure, and no stronger duplicate."
World Bank,AG.LND.FRST.K2,Largest forest area,approved,Largest forest area,Retained after full editorial review; quality and provenance gates still apply.
World Bank,AG.LND.TOTL.K2,Largest land area,approved,Largest land area,Retained after full editorial review; quality and provenance gates still apply.
World Bank,AG.LND.AGRI.K2,Largest agricultural land area,excluded,,Near-duplicate of land area and arable-land totals.
Natural Earth,longest-coastline,Longest coastline,approved,Longest coastline,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'F1783:5313,Most Eggs Primary laying animals,excluded,,Technical animal-input count removed.
FAOSTAT,QCL:'0231:5313,"Most Hen eggs in shell, fresh laying animals",excluded,,Technical animal-input count removed.
FAOSTAT,QCL:'F1732:5312,"Largest Oilcrops, Oil Equivalent harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'F1732:5510,"Largest Oilcrops, Oil Equivalent production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21512:5510,"Largest Cattle fat, unrendered production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21151:5510,"Largest Edible offal of cattle, fresh, chilled or frozen production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'F1841:5312,"Largest Oilcrops, Cake Equivalent harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'F1841:5510,"Largest Oilcrops, Cake Equivalent production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'02951.01:5510,Largest Raw hides and skins of cattle production,excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21155:5510,"Largest Edible offal of sheep, fresh, chilled or frozen production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'02953:5510,Largest Raw hides and skins of sheep or lambs production,excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21514:5510,"Largest Sheep fat, unrendered production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21156:5510,"Largest Edible offal of goat, fresh, chilled or frozen production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21515:5510,"Largest Goat fat, unrendered production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'02954:5510,Largest Raw hides and skins of goats or kids production,excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21153:5510,"Largest Edible offal of pigs, fresh, chilled or frozen production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21511.01:5510,Largest Fat of pigs production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01359.90:5312,"Largest Other fruits, n.e.c. harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01359.90:5510,"Largest Other fruits, n.e.c. production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'F17530:5510,"Largest Fibre Crops, Fibre Equivalent production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'22241.01:5510,Largest Butter of cow milk production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'F17530:5312,"Largest Fibre Crops, Fibre Equivalent harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'02196:5114,Largest Bees stocks,approved,Largest bee population,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01316:5312,"Largest Mangoes, guavas and mangosteens harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01802:5510,Largest Sugar cane production,approved,Largest sugarcane production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01520.01:5312,"Largest Cassava, fresh harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01346:5510,Largest Plums and sloes production,approved,Largest plums and sloes production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01346:5412,Highest Plums and sloes yield,approved,Highest plums and sloes yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01342.01:5412,Highest Pears yield,approved,Highest pears yield,"Recognizable, clear measure, and no stronger duplicate."
World Bank,SP.DYN.LE00.IN,Highest life expectancy,approved,Highest life expectancy,Retained after full editorial review; quality and provenance gates still apply.
World Bank,EN.POP.DNST,Highest population density,approved,Highest population density,Retained after full editorial review; quality and provenance gates still apply.
World Bank,AG.LND.ARBL.HA,Most arable land,approved,Most arable land,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'F1807:5417,Highest Sheep and Goat Meat yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'21115:5417,"Highest Meat of sheep, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
UNHCR,asylum-applications:coa:applied,Most asylum applications received,approved,Most asylum applications received,Retained after full editorial review; quality and provenance gates still apply.
World Bank,TX.VAL.FOOD.ZS.UN,Highest food share of exports,approved,Highest food share of exports,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'F1811:5510,Largest Butter and Ghee production,approved,Largest butter and ghee production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'F1745:5510,Largest Cheese (All Kinds) production,approved,Largest cheese production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'22251.01:5510,Largest Cheese from whole cow milk production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01311:5312,Largest Avocados harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01311:5510,Largest Avocados production,approved,Largest avocado production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01319:5510,"Largest Other tropical fruits, n.e.c. production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01802:5312,Largest Sugar cane harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01345:5312,Largest Peaches and nectarines harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01345:5510,Largest Peaches and nectarines production,approved,Largest peaches and nectarines production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01346:5312,Largest Plums and sloes harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01342.01:5510,Largest Pears production,approved,Largest pears production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01342.01:5312,Largest Pears harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'02291:5510,Largest Raw milk of sheep production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01318:5412,Highest Pineapples yield,approved,Highest pineapple yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01318:5510,Largest Pineapples production,approved,Largest pineapple production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01242:5412,"Highest Peas, green yield",approved,Highest green peas yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01354:5412,Highest Strawberries yield,approved,Highest strawberries yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'0117:5510,Largest Oats production,approved,Largest oats production,"Recognizable, clear measure, and no stronger duplicate."
World Bank,AG.LND.FRST.ZS,Highest forest coverage,approved,Highest forest coverage,Retained after full editorial review; quality and provenance gates still apply.
World Bank,AG.LND.AGRI.ZS,Highest farmland share,excluded,,Near-duplicate of arable-land share.
Natural Earth,longest-land-border,Longest total land border,approved,Longest total land border,Retained after full editorial review; quality and provenance gates still apply.
World Bank,AG.LND.ARBL.ZS,Highest arable-land share,approved,Highest arable-land share,Retained after full editorial review; quality and provenance gates still apply.
World Bank,NE.GDI.TOTL.ZS,Highest investment share,approved,Highest investment share,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'21116:5417,"Highest Meat of goat, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'24310.01:5510,"Largest Beer of barley, malted production",approved,Largest beer production,"Recognizable, clear measure, and no stronger duplicate."
World Bank,TX.VAL.TECH.CD,Largest high-tech exports,approved,Largest high-tech exports,Retained after full editorial review; quality and provenance gates still apply.
WHO,WHS4_543,Highest tuberculosis vaccination rate,approved,Highest tuberculosis vaccination rate,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'F1809:5510,"Largest Skim Milk & Buttermilk, Dry production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'02951.01:5417,Highest Raw hides and skins of cattle yield,excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'22230.04:5510,"Largest Buttermilk, dry production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'22110.02:5510,Largest Skim milk of cows production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'2351f:5510,Largest Raw cane or beet sugar (centrifugal only) production,approved,Largest cane and beet sugar production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'23540:5510,Largest Molasses production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01319:5312,"Largest Other tropical fruits, n.e.c. harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01321:5510,Largest Pomelos and grapefruits production,approved,Largest grapefruits and pomelos production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01321:5312,Largest Pomelos and grapefruits harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01324:5510,"Largest Tangerines, mandarins, clementines production",approved,Largest mandarins and tangerines production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01242:5510,"Largest Peas, green production",approved,Largest green peas production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01921.01:5412,"Highest Seed cotton, unginned yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01242:5312,"Largest Peas, green harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01318:5312,Largest Pineapples harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01354:5510,Largest Strawberries production,approved,Largest strawberries production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01445:5312,Largest Sunflower seed harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01354:5312,Largest Strawberries harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01445:5510,Largest Sunflower seed production,approved,Largest sunflower seeds production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01345:5412,Highest Peaches and nectarines yield,approved,Highest peaches and nectarines yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'0117:5312,Largest Oats harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'0117:5412,Highest Oats yield,approved,Highest oats yield,"Recognizable, clear measure, and no stronger duplicate."
World Bank,TM.VAL.FOOD.ZS.UN,Highest food share of imports,approved,Highest food share of imports,Retained after full editorial review; quality and provenance gates still apply.
World Bank,NY.GNS.ICTR.ZS,Highest gross savings rate,approved,Highest gross savings rate,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'23913:5510,"Largest Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'2161:5510,Largest Soya bean oil production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01324:5312,"Largest Tangerines, mandarins, clementines harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01921.01:5510,"Largest Seed cotton, unginned production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01921.01:5312,"Largest Seed cotton, unginned harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01460:5412,"Highest Coconuts, in shell yield",approved,Highest coconuts yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'02291:5318,Most Raw milk of sheep milk-producing animals,excluded,,Technical animal-input count removed.
FAOSTAT,QCL:'01343:5510,Largest Apricots production,approved,Largest apricot production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01319:5412,"Highest Other tropical fruits, n.e.c. yield",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01445:5412,Highest Sunflower seed yield,approved,Highest sunflower seeds yield,"Recognizable, clear measure, and no stronger duplicate."
UN Comtrade,85,Largest electrical-equipment exports,approved,Largest electrical-equipment exports,Retained after full editorial review; quality and provenance gates still apply.
UN Comtrade,30,Largest pharmaceutical exports,approved,Largest pharmaceutical exports,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'0143:5510,Largest Cotton seed production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'21700.02:5510,Largest Margarine and shortening production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01460:5510,"Largest Coconuts, in shell production",approved,Largest coconuts production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01379.90:5510,"Largest Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01343:5312,Largest Apricots harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'0118:5312,Largest Millet harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'0118:5510,Largest Millet production,approved,Largest millet production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01610:5412,"Highest Coffee, green yield",approved,Highest coffee yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'02291:5417,Highest Raw milk of sheep yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01610:5312,"Largest Coffee, green harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01311:5412,Highest Avocados yield,approved,Highest avocado yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01324:5412,"Highest Tangerines, mandarins, clementines yield",approved,Highest mandarins and tangerines yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01215:5412,Highest Spinach yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01443:5312,Largest Rape or colza seed harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01443:5510,Largest Rape or colza seed production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01443:5412,Highest Rape or colza seed yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'0116:5412,Highest Rye yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
UNESCO UIS,GER.1,Highest primary-school enrollment,excluded,,Gross enrollment can exceed 100 percent and is less intuitive than completion rates.
World Bank,SH.H2O.BASW.ZS,Highest basic drinking-water access,approved,Highest basic drinking-water access,Retained after full editorial review; quality and provenance gates still apply.
UN Comtrade,88,Largest aircraft exports,approved,Largest aircraft exports,Retained after full editorial review; quality and provenance gates still apply.
UN Comtrade,8703,Largest car exports,approved,Largest car exports,Retained after full editorial review; quality and provenance gates still apply.
World Bank,MS.MIL.XPND.CD,Highest military spending,approved,Highest military spending,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'01921.02:5510,"Largest Cotton lint, ginned production",approved,Largest cotton production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01379.90:5312,"Largest Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01460:5312,"Largest Coconuts, in shell harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01610:5510,"Largest Coffee, green production",approved,Largest coffee production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01321:5412,Highest Pomelos and grapefruits yield,approved,Highest grapefruits and pomelos yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01317:5510,Largest Papayas production,approved,Largest papaya production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01444:5510,Largest Sesame seed production,approved,Largest sesame seeds production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01215:5510,Largest Spinach production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01344.02:5510,Largest Cherries production,approved,Largest cherries production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01343:5412,Highest Apricots yield,approved,Highest apricot yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01344.02:5312,Largest Cherries harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01702:5412,"Highest Broad beans and horse beans, dry yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'0116:5312,Largest Rye harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'0116:5510,Largest Rye production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01801:5312,Largest Sugar beet harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01801:5510,Largest Sugar beet production,approved,Largest sugar beets production,"Recognizable, clear measure, and no stronger duplicate."
UN Comtrade,0901,Largest coffee exports,approved,Largest coffee exports,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'2162:5510,Largest Groundnut oil production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'2168:5510,Largest Cottonseed oil production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'24212.02:5510,Largest Wine production,approved,Largest wine production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'21122:5510,"Largest Meat of ducks, fresh or chilled production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'21122:5321,"Most Meat of ducks, fresh or chilled producing animals",excluded,,Technical animal-input count removed.
FAOSTAT,QCL:'0118:5412,Highest Millet yield,approved,Highest millet yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01449.90:5312,"Largest Other oil seeds, n.e.c. harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'02941:5510,"Largest Shorn wool, greasy, including fleece-washed shorn wool production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01444:5412,Highest Sesame seed yield,approved,Highest sesame seeds yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01444:5312,Largest Sesame seed harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'21122:5424,"Highest Meat of ducks, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01317:5412,Highest Papayas yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01317:5312,Largest Papayas harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01215:5312,Largest Spinach harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01702:5312,"Largest Broad beans and horse beans, dry harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01702:5510,"Largest Broad beans and horse beans, dry production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01376:5312,"Largest Walnuts, in shell harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
World Bank,EG.ELC.ACCS.ZS,Highest electricity access,approved,Highest electricity access,Retained after full editorial review; quality and provenance gates still apply.
UN Comtrade,1006,Largest rice exports,approved,Largest rice exports,Retained after full editorial review; quality and provenance gates still apply.
World Bank,MS.MIL.XPND.GD.ZS,Highest military spending share,approved,Highest military spending share,Retained after full editorial review; quality and provenance gates still apply.
World Bank,EG.USE.ELEC.KH.PC,Highest electricity use per person,approved,Highest electricity use per person,Retained after full editorial review; quality and provenance gates still apply.
World Bank,EG.USE.PCAP.KG.OE,Highest energy use per person,approved,Highest energy use per person,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'02154:5112,Largest Ducks stocks,approved,Largest duck population,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'21631.01:5510,"Largest Sunflower-seed oil, crude production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01329:5312,"Largest Other citrus fruit, n.e.c. harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'F1816:5510,Largest Evaporated & Condensed Milk production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01329:5510,"Largest Other citrus fruit, n.e.c. production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'22120:5510,"Largest Cream, fresh production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01449.90:5510,"Largest Other oil seeds, n.e.c. production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01270:5510,Largest Mushrooms and truffles production,approved,Largest mushrooms and truffles production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'21159.01:5320,"Most Edible offals of horses and other equines, fresh, chilled or frozen producing animals",excluded,,Technical animal-input count removed.
FAOSTAT,QCL:'21118.01:5320,"Most Horse meat, fresh or chilled producing animals",excluded,,Technical animal-input count removed.
FAOSTAT,QCL:'01449.90:5412,"Highest Other oil seeds, n.e.c. yield",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01243:5510,"Largest Broad beans and horse beans, green production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01344.02:5412,Highest Cherries yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01243:5312,"Largest Broad beans and horse beans, green harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01199.90:5312,Largest Cereals n.e.c. harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'21124:5510,"Largest Meat of turkeys, fresh or chilled production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01376:5510,"Largest Walnuts, in shell production",approved,Largest walnuts production,"Recognizable, clear measure, and no stronger duplicate."
WHO,MDG_0000000026,Lowest maternal mortality,approved,Lowest maternal mortality,Retained after full editorial review; quality and provenance gates still apply.
WHO,PHE_HHAIR_POP_CLEAN_FUELS,Highest clean-cooking-fuel access,approved,Highest clean-cooking-fuel access,Retained after full editorial review; quality and provenance gates still apply.
UN Comtrade,2204,Largest wine exports,approved,Largest wine exports,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'02152:5112,Largest Turkeys stocks,approved,Largest turkey population,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01379.90:5412,"Highest Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. yield",excluded,,Obscure or technical commodity definition removed.
