category_id,title,source_organization,source_indicator_code,prior_editorial_status,prior_validation_status,prior_ranking_completeness_status,prior_primary_blocker,prior_blocker_class,v16_2_2_decision,rationale
worldbank-catalog:dt-nfl-mlat-cd,"Highest net financial flows, multilateral",World Bank,DT.NFL.MLAT.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-nifc-cd,"Highest iFC, private nonguaranteed",World Bank,DT.NFL.NIFC.CD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-offt-cd,"Highest pPG, official creditors",World Bank,DT.NFL.OFFT.CD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-pbnd-cd,"Highest pPG, bonds",World Bank,DT.NFL.PBND.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-pcbk-cd,"Highest pPG, commercial banks",World Bank,DT.NFL.PCBK.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-pcbo-cd,Highest commercial banks and other lending (PPG + PNG),World Bank,DT.NFL.PCBO.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-pngb-cd,"Highest pNG, bonds",World Bank,DT.NFL.PNGB.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-pngc-cd,"Highest pNG, commercial banks and other creditors",World Bank,DT.NFL.PNGC.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-prop-cd,"Highest pPG, other private creditors",World Bank,DT.NFL.PROP.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-prvt-cd,"Highest pPG, private creditors",World Bank,DT.NFL.PRVT.CD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-rdbc-cd,"Highest net financial flows, RDB concessional",World Bank,DT.NFL.RDBC.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-rdbn-cd,"Highest net financial flows, RDB nonconcessional",World Bank,DT.NFL.RDBN.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-sdgf-cd,"Highest net official flows from UN agencies, SDGFUND",World Bank,DT.NFL.SDGF.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-sprp-cd,"Highest net official flows from UN agencies, SPRP",World Bank,DT.NFL.SPRP.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-unai-cd,"Highest net official flows from UN agencies, UNAIDS",World Bank,DT.NFL.UNAI.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-uncd-cd,"Highest net official flows from UN agencies, UNCDF",World Bank,DT.NFL.UNCD.CD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-uncf-cd,"Highest net official flows from UN agencies, UNICEF",World Bank,DT.NFL.UNCF.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-uncr-cd,"Highest net official flows from UN agencies, UNHCR",World Bank,DT.NFL.UNCR.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-uncv-cd,"Highest net official flows from UN agencies, UNCOVID",World Bank,DT.NFL.UNCV.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-undp-cd,"Highest net official flows from UN agencies, UNDP",World Bank,DT.NFL.UNDP.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-unep-cd,"Highest net official flows from UN agencies, UNEP",World Bank,DT.NFL.UNEP.CD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-unfp-cd,"Highest net official flows from UN agencies, UNFPA",World Bank,DT.NFL.UNFP.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-unido-cd,"Highest net official flows from UN agencies, UNIDO",World Bank,DT.NFL.UNIDO.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-unpb-cd,"Highest net official flows from UN agencies, UNPBF",World Bank,DT.NFL.UNPB.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-unrw-cd,"Highest net official flows from UN agencies, UNRWA",World Bank,DT.NFL.UNRW.CD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-unwn-cd,"Highest net official flows from UN agencies, UNWOMEN",World Bank,DT.NFL.UNWN.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-wfpg-cd,"Highest net official flows from UN agencies, WFP",World Bank,DT.NFL.WFPG.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-whol-cd,"Highest net official flows from UN agencies, WHO",World Bank,DT.NFL.WHOL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-witc-cd,"Highest net official flows from UN agencies, WTO-ITC",World Bank,DT.NFL.WITC.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-oda-odat-gi-zs,Highest net ODA received,World Bank,DT.ODA.ODAT.GI.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-oda-odat-gn-zs,Highest net ODA received,World Bank,DT.ODA.ODAT.GN.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-oda-odat-mp-zs,Highest net ODA received,World Bank,DT.ODA.ODAT.MP.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-oda-odat-pc-zs,Highest net ODA received per capita,World Bank,DT.ODA.ODAT.PC.ZS,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-oda-odat-xp-zs,Highest net ODA received,World Bank,DT.ODA.ODAT.XP.ZS,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-dect-cd,"Highest debt service on external debt, total",World Bank,DT.TDS.DECT.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-dect-ex-zs,Highest total debt service,World Bank,DT.TDS.DECT.EX.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-dect-gn-zs,Highest total debt service,World Bank,DT.TDS.DECT.GN.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-dppf-xp-zs,Highest debt service,World Bank,DT.TDS.DPPF.XP.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-dppg-cd,"Highest debt service on external debt, public and publicly guaranteed (PPG)",World Bank,DT.TDS.DPPG.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-dppg-gn-zs,Highest public and publicly guaranteed debt service,World Bank,DT.TDS.DPPG.GN.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-dppg-xp-zs,Highest public and publicly guaranteed debt service,World Bank,DT.TDS.DPPG.XP.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-mlat-cd,Highest multilateral debt service,World Bank,DT.TDS.MLAT.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-tds-mlat-pg-zs,Highest multilateral debt service,World Bank,DT.TDS.MLAT.PG.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:eg-egy-prim-pp-kd,Highest energy intensity level of primary energy,World Bank,EG.EGY.PRIM.PP.KD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:eg-elc-accs-ru-zs,"Highest access to electricity, rural",World Bank,EG.ELC.ACCS.RU.ZS,pending,verified,comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,approved,"v16.2.2 catalog review: clear, objective country comparison worth keeping; source/integrity gates remain authoritative."
worldbank-catalog:eg-elc-accs-ur-zs,"Highest access to electricity, urban",World Bank,EG.ELC.ACCS.UR.ZS,pending,verified,comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,approved,"v16.2.2 catalog review: clear, objective country comparison worth keeping; source/integrity gates remain authoritative."
worldbank-catalog:eg-elc-coal-zs,Highest electricity production from coal sources,World Bank,EG.ELC.COAL.ZS,pending,unable_to_verify,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,needs_discussion,"v16.2.2 catalog review: worthwhile concept, but source coverage/audit or comparability needs focused follow-up before gameplay."
worldbank-catalog:eg-elc-nucl-zs,Highest electricity production from nuclear sources,World Bank,EG.ELC.NUCL.ZS,pending,unable_to_verify,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,needs_discussion,"v16.2.2 catalog review: worthwhile concept, but source coverage/audit or comparability needs focused follow-up before gameplay."
worldbank-catalog:eg-gdp-puse-ko-pp-kd,Highest gDP per unit of energy use,World Bank,EG.GDP.PUSE.KO.PP.KD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:eg-imp-cons-zs,"Highest energy imports, net",World Bank,EG.IMP.CONS.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:eg-use-comm-fo-zs,Highest fossil fuel energy consumption,World Bank,EG.USE.COMM.FO.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,approved,"v16.2.2 catalog review: clear, objective country comparison worth keeping; source/integrity gates remain authoritative."
worldbank-catalog:eg-use-comm-gd-pp-kd,"Highest energy use (kg of oil equivalent) per $1,000 GDP",World Bank,EG.USE.COMM.GD.PP.KD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:en-ghg-ch4-ip-mt-ce-ar5,Highest methane (CH4) emissions from Industrial Processes,World Bank,EN.GHG.CH4.IP.MT.CE.AR5,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:en-ghg-co2-wa-mt-ce-ar5,Highest carbon dioxide (CO2) emissions from Waste,World Bank,EN.GHG.CO2.WA.MT.CE.AR5,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:er-gdp-fwtl-m3-kd,"Highest water productivity, total",World Bank,ER.GDP.FWTL.M3.KD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,needs_discussion,"v16.2.2 catalog review: worthwhile concept, but source coverage/audit or comparability needs focused follow-up before gameplay."
worldbank-catalog:er-h2o-fwst-zs,Highest level of water stress: freshwater withdrawal as a proportion of available freshwater resources,World Bank,ER.H2O.FWST.ZS,needs_rewrite,unable_to_verify,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,needs_discussion,"v16.2.2 catalog review: worthwhile concept, but source coverage/audit or comparability needs focused follow-up before gameplay."
worldbank-catalog:fb-ast-nper-zs,Highest bank nonperforming loans to total gross loans,World Bank,FB.AST.NPER.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fb-bnk-capa-zs,Highest bank capital to assets ratio,World Bank,FB.BNK.CAPA.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fb-cbk-brwr-p3,Highest borrowers from commercial banks,World Bank,FB.CBK.BRWR.P3,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fb-cbk-dptr-p3,Highest depositors with commercial banks,World Bank,FB.CBK.DPTR.P3,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fd-ast-prvt-gd-zs,Highest domestic credit to private sector by banks,World Bank,FD.AST.PRVT.GD.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fi-res-totl-dt-zs,Highest total reserves,World Bank,FI.RES.TOTL.DT.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-ast-cgov-zg-m3,Highest claims on central government,World Bank,FM.AST.CGOV.ZG.M3,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-ast-domo-zg-m3,Highest claims on other sectors of the domestic economy,World Bank,FM.AST.DOMO.ZG.M3,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-ast-doms-cn,Highest net domestic credit,World Bank,FM.AST.DOMS.CN,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-ast-nfrg-cn,Highest net foreign assets,World Bank,FM.AST.NFRG.CN,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-ast-prvt-gd-zs,Highest monetary Sector credit to private sector,World Bank,FM.AST.PRVT.GD.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-ast-prvt-zg-m3,Highest claims on private sector,World Bank,FM.AST.PRVT.ZG.M3,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-lbl-bmny-cn,Highest broad money,World Bank,FM.LBL.BMNY.CN,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-lbl-bmny-gd-zs,Highest broad money,World Bank,FM.LBL.BMNY.GD.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-lbl-bmny-ir-zs,Highest broad money to total reserves ratio,World Bank,FM.LBL.BMNY.IR.ZS,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fm-lbl-bmny-zg,Fastest broad money growth,World Bank,FM.LBL.BMNY.ZG,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fr-inr-dpst,Highest deposit interest rate,World Bank,FR.INR.DPST,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fr-inr-lend,Highest lending interest rate,World Bank,FR.INR.LEND,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fr-inr-lndp,Highest interest rate spread,World Bank,FR.INR.LNDP,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fr-inr-rinr,Highest real interest rate,World Bank,FR.INR.RINR,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fr-inr-risk,Highest risk premium on lending,World Bank,FR.INR.RISK,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fs-ast-domo-gd-zs,Highest claims on other sectors of the domestic economy,World Bank,FS.AST.DOMO.GD.ZS,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:fs-ast-doms-gd-zs,Highest domestic credit provided by financial sector,World Bank,FS.AST.DOMS.GD.ZS,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
