title,family,indicator,source,quality,year,coverage,official,modeled,credibility_score,trust_status,evidence_label,comparability_risk,corroboration_status,v13_5_action,trust_reason
Highest sugarcane yield,Crops,QCL:'01802:5412,FAOSTAT,91,2024,92,36%,64%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest cassava yield,Crops,QCL:'01520.01:5412,FAOSTAT,91,2024,91,38%,62%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest eggplants yield,Agriculture,QCL:'01233:5412,FAOSTAT,91,2024,91,54%,46%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest cassava production,Crops,QCL:'01520.01:5510,FAOSTAT,91,2024,91,44%,56%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest forest area,Land,AG.LND.FRST.K2,World Bank,90,2023,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Largest land area,Land,AG.LND.TOTL.K2,World Bank,90,2023,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Longest coastline,Geography,longest-coastline,Natural Earth,90,2026,193,—,—,45,quarantined,Geospatially derived,high,needs_corroboration,quarantined,Coastline length changes materially with map resolution. Natural Earth generalized geometry is unsuitable for a definitive country ranking.
Highest employment-to-population ratio,Labor,EMP_2WAP_SEX_AGE_RT_A,ILOSTAT,90,2025,174,0%,100%,83,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,ILO-harmonized labor-force surveys and modeled estimates under international statistical standards.
Highest labor-income share of GDP,Labor,SDG_1041_NOC_RT_A,ILOSTAT,90,2025,174,—,85%,83,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,ILO-harmonized labor-force surveys and modeled estimates under international statistical standards.
Highest output per worker,Economy,GDP_205U_NOC_NB_A,ILOSTAT,90,2025,174,0%,100%,83,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,ILO-harmonized labor-force surveys and modeled estimates under international statistical standards.
Lowest unemployment rate,Labor,UNE_2EAP_SEX_AGE_RT_A,ILOSTAT,90,2025,174,0%,100%,83,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,ILO-harmonized labor-force surveys and modeled estimates under international statistical standards.
Largest bee population,Agriculture,QCL:'02196:5114,FAOSTAT,90,2023,109,50%,50%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest sugarcane production,Crops,QCL:'01802:5510,FAOSTAT,90,2024,92,42%,58%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest plums and sloes production,Agriculture,QCL:'01346:5510,FAOSTAT,90,2024,88,65%,35%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest plums and sloes yield,Agriculture,QCL:'01346:5412,FAOSTAT,90,2024,86,58%,42%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest pears yield,Agriculture,QCL:'01342.01:5412,FAOSTAT,90,2024,84,62%,38%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest life expectancy,Health,SP.DYN.LE00.IN,World Bank,89,2024,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest population density,Population,EN.POP.DNST,World Bank,89,2023,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Most arable land,Agriculture,AG.LND.ARBL.HA,World Bank,89,2023,191,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Most asylum applications received,Displacement,asylum-applications:coa:applied,UNHCR,89,2024,151,100%,0%,86,approved,Observed/administrative,medium,single_system,eligible after trust gate,Operational registration and asylum records standardized by UNHCR; registration-system differences remain possible.
Highest food share of exports,Trade,TX.VAL.FOOD.ZS.UN,World Bank,89,2025,158,—,—,95,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs and trade records harmonized through international statistical systems.
Largest butter and ghee production,Dairy,QCL:'F1811:5510,FAOSTAT,89,2023,125,40%,60%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest cheese production,Dairy,QCL:'F1745:5510,FAOSTAT,89,2023,107,47%,53%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest avocado production,Fruit,QCL:'01311:5510,FAOSTAT,89,2024,92,59%,41%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest peaches and nectarines production,Agriculture,QCL:'01345:5510,FAOSTAT,89,2024,89,64%,36%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest pears production,Agriculture,QCL:'01342.01:5510,FAOSTAT,89,2024,85,69%,31%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest pineapple yield,Fruit,QCL:'01318:5412,FAOSTAT,89,2024,81,35%,65%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest pineapple production,Fruit,QCL:'01318:5510,FAOSTAT,89,2024,81,43%,57%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest green peas yield,Agriculture,QCL:'01242:5412,FAOSTAT,89,2024,79,58%,42%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest strawberries yield,Agriculture,QCL:'01354:5412,FAOSTAT,89,2024,79,63%,37%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest oats production,Agriculture,QCL:'0117:5510,FAOSTAT,89,2024,76,75%,25%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest forest coverage,Land,AG.LND.FRST.ZS,World Bank,88,2023,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Longest total land border,Geography,longest-land-border,Natural Earth,88,2026,193,—,—,90,approved,Geospatially derived,low,independent,eligible after trust gate,Calculated consistently from one global geometry dataset rather than national claims.
Highest arable-land share,Agriculture,AG.LND.ARBL.ZS,World Bank,88,2023,191,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Fastest labor-productivity growth,Economy,SDG_0821_NOC_RT_A,ILOSTAT,88,2025,174,—,95%,83,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,ILO-harmonized labor-force surveys and modeled estimates under international statistical standards.
Highest investment share,Economy,NE.GDI.TOTL.ZS,World Bank,88,2025,165,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Largest beer production,Crops,QCL:'24310.01:5510,FAOSTAT,88,2023,161,17%,83%,88,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest high-tech exports,Trade,TX.VAL.TECH.CD,World Bank,88,2024,159,—,—,95,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs and trade records harmonized through international statistical systems.
Highest tuberculosis vaccination rate,Vaccination,WHS4_543,WHO,88,2025,153,—,—,82,caution,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"WHO immunization coverage series. Retained as standardized reported/estimated coverage, not represented as an independently measured census."
Largest cane and beet sugar production,Crops,QCL:'2351f:5510,FAOSTAT,88,2023,123,27%,73%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest grapefruits and pomelos production,Fruit,QCL:'01321:5510,FAOSTAT,88,2024,91,52%,48%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest mandarins and tangerines production,Agriculture,QCL:'01324:5510,FAOSTAT,88,2024,90,57%,43%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest green peas production,Agriculture,QCL:'01242:5510,FAOSTAT,88,2024,83,66%,34%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest strawberries production,Agriculture,QCL:'01354:5510,FAOSTAT,88,2024,80,70%,30%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest sunflower seeds production,Agriculture,QCL:'01445:5510,FAOSTAT,88,2024,79,70%,30%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest peaches and nectarines yield,Agriculture,QCL:'01345:5412,FAOSTAT,88,2024,78,53%,47%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest oats yield,Agriculture,QCL:'0117:5412,FAOSTAT,88,2024,74,74%,26%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest food share of imports,Trade,TM.VAL.FOOD.ZS.UN,World Bank,87,2025,158,—,—,95,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs and trade records harmonized through international statistical systems.
Highest gross savings rate,Economy,NY.GNS.ICTR.ZS,World Bank,87,2025,154,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Highest coconuts yield,Agriculture,QCL:'01460:5412,FAOSTAT,87,2024,78,19%,81%,88,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest apricot production,Agriculture,QCL:'01343:5510,FAOSTAT,87,2024,76,67%,33%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest sunflower seeds yield,Agriculture,QCL:'01445:5412,FAOSTAT,87,2024,73,63%,37%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest electrical-equipment exports,Trade,85,UN Comtrade,86,2023,156,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Largest pharmaceutical exports,Trade,30,UN Comtrade,86,2023,154,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Largest coconuts production,Agriculture,QCL:'01460:5510,FAOSTAT,86,2024,78,23%,77%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest millet production,Agriculture,QCL:'0118:5510,FAOSTAT,86,2024,75,44%,56%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest coffee yield,Crops,QCL:'01610:5412,FAOSTAT,86,2024,73,26%,74%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest avocado yield,Fruit,QCL:'01311:5412,FAOSTAT,86,2024,70,39%,61%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest mandarins and tangerines yield,Agriculture,QCL:'01324:5412,FAOSTAT,86,2024,69,39%,61%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Most land-border neighbors,Geography,most-land-neighbors,Natural Earth,85,2026,193,—,—,90,approved,Geospatially derived,low,independent,eligible after trust gate,Calculated consistently from one global geometry dataset rather than national claims.
Highest basic drinking-water access,Infrastructure,SH.H2O.BASW.ZS,World Bank,85,2024,184,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Largest aircraft exports,Trade,88,UN Comtrade,85,2023,149,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Largest car exports,Trade,8703,UN Comtrade,85,2023,151,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Highest military spending,Government,MS.MIL.XPND.CD,World Bank,85,2024,153,—,—,85,approved,Internationally harmonized,medium,independent,eligible after trust gate,"SIPRI series uses budgets, official documents, and independent estimation rather than accepting a single government assertion."
Largest cotton production,Crops,QCL:'01921.02:5510,FAOSTAT,85,2023,87,20%,80%,88,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest coffee production,Crops,QCL:'01610:5510,FAOSTAT,85,2024,73,37%,63%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest grapefruits and pomelos yield,Fruit,QCL:'01321:5412,FAOSTAT,85,2024,70,33%,67%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest papaya production,Agriculture,QCL:'01317:5510,FAOSTAT,85,2024,68,46%,54%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest sesame seeds production,Agriculture,QCL:'01444:5510,FAOSTAT,85,2024,68,37%,63%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest cherries production,Agriculture,QCL:'01344.02:5510,FAOSTAT,85,2024,66,71%,29%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest apricot yield,Agriculture,QCL:'01343:5412,FAOSTAT,85,2024,65,52%,48%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest sugar beets production,Crops,QCL:'01801:5510,FAOSTAT,85,2024,62,76%,24%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest coffee exports,Trade,0901,UN Comtrade,84,2023,144,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Largest wine production,Agriculture,QCL:'24212.02:5510,FAOSTAT,84,2023,76,41%,59%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest millet yield,Agriculture,QCL:'0118:5412,FAOSTAT,84,2024,73,37%,63%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest sesame seeds yield,Agriculture,QCL:'01444:5412,FAOSTAT,84,2024,68,34%,66%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest electricity access,Infrastructure,EG.ELC.ACCS.ZS,World Bank,83,2024,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Most crude oil produced,Energy,57:1,U.S. EIA,83,2025,186,100%,0%,82,caution,Observed/administrative,medium,internationally_reconciled,conditional: must pass nonzero/tie-concentration gate,Physical energy statistics compiled by the U.S. EIA. Boards must additionally pass nonzero and tie-concentration checks.
Largest rice exports,Trade,1006,UN Comtrade,83,2023,140,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Highest military spending share,Government,MS.MIL.XPND.GD.ZS,World Bank,83,2024,150,—,—,85,approved,Internationally harmonized,medium,independent,eligible after trust gate,"SIPRI series uses budgets, official documents, and independent estimation rather than accepting a single government assertion."
Highest electricity use per person,Energy,EG.USE.ELEC.KH.PC,World Bank,83,2024,146,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest energy use per person,Energy,EG.USE.PCAP.KG.OE,World Bank,83,2024,146,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Largest duck population,Livestock,QCL:'02154:5112,FAOSTAT,83,2023,83,46%,54%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest mushrooms and truffles production,Agriculture,QCL:'01270:5510,FAOSTAT,83,2024,64,56%,44%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest walnuts production,Agriculture,QCL:'01376:5510,FAOSTAT,83,2024,61,70%,30%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Lowest maternal mortality,Health,MDG_0000000026,WHO,82,2023,193,—,90%,84,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"WHO-standardized health, survey, administrative, and modeled estimates with published methods."
Highest clean-cooking-fuel access,Infrastructure,PHE_HHAIR_POP_CLEAN_FUELS,WHO,82,2023,189,—,80%,84,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"WHO-standardized health, survey, administrative, and modeled estimates with published methods."
Largest wine exports,Trade,2204,UN Comtrade,82,2023,139,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Largest turkey population,Livestock,QCL:'02152:5112,FAOSTAT,82,2023,73,47%,53%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest figs production,Agriculture,QCL:'01315:5510,FAOSTAT,82,2024,65,63%,37%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest education spending share of GDP,Government,XGDP.FSGOV,UNESCO UIS,81,2022,155,100%,0%,80,caution,Observed/administrative,medium,internationally_reconciled,eligible after trust gate,"UIS harmonizes national administrative and survey data, but definitions and measurement capacity can vary across countries."
Most renewable freshwater,Environment,ER.H2O.INTR.K3,World Bank,81,2022,180,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Most airline passengers,Transport,IS.AIR.PSGR,World Bank,81,2023,152,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest safely managed sanitation access,Infrastructure,WSH_SANITATION_SAFELY_MANAGED,WHO,81,2024,135,—,—,84,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"WHO-standardized health, survey, administrative, and modeled estimates with published methods."
Highest safely managed drinking-water access,Infrastructure,WSH_WATER_SAFELY_MANAGED,WHO,81,2024,135,—,—,84,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"WHO-standardized health, survey, administrative, and modeled estimates with published methods."
Most stateless people,Displacement,population:coa:stateless,UNHCR,81,2025,94,100%,0%,86,approved,Observed/administrative,medium,single_system,eligible after trust gate,Operational registration and asylum records standardized by UNHCR; registration-system differences remain possible.
Largest almonds production,Agriculture,QCL:'01371:5510,FAOSTAT,81,2024,61,52%,48%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest buffalo population,Livestock,QCL:'02112:5111,FAOSTAT,80,2024,60,62%,38%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Most natural gas produced,Energy,26:1,U.S. EIA,79,2024,187,100%,0%,82,caution,Observed/administrative,medium,internationally_reconciled,conditional: must pass nonzero/tie-concentration gate,Physical energy statistics compiled by the U.S. EIA. Boards must additionally pass nonzero and tie-concentration checks.
Largest banana exports,Trade,0803,UN Comtrade,79,2023,123,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Largest gold exports,Trade,7108,UN Comtrade,79,2023,123,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Highest nurse and midwife density,Healthcare,HWF_0006,WHO,78,2022,140,—,—,84,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"WHO-standardized health, survey, administrative, and modeled estimates with published methods."
Highest average rainfall,Climate,AG.LND.PRCP.MM,World Bank,78,2022,179,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest vocational enrollment share,Education,GTVP.2T3.V,UNESCO UIS,78,2023,124,100%,0%,80,caution,Observed/administrative,medium,internationally_reconciled,eligible after trust gate,"UIS harmonizes national administrative and survey data, but definitions and measurement capacity can vary across countries."
Most air freight,Transport,IS.AIR.GOOD.MT.K1,World Bank,78,2023,140,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Lowest working-poverty rate,Labor,SDG_0111_SEX_AGE_RT_A,ILOSTAT,78,2025,113,—,90%,83,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,ILO-harmonized labor-force surveys and modeled estimates under international statistical standards.
Largest tea exports,Trade,0902,UN Comtrade,76,2022,144,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Largest crude-oil exports,Trade,2709,UN Comtrade,74,2023,101,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Largest cocoa-bean exports,Trade,1801,UN Comtrade,74,2023,99,100%,0%,96,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs transaction records standardized by the United Nations and cross-checkable against trading-partner records.
Most international students hosted,Education,26637,UNESCO UIS,73,2023,99,100%,0%,80,caution,Observed/administrative,medium,internationally_reconciled,eligible after trust gate,"UIS harmonizes national administrative and survey data, but definitions and measurement capacity can vary across countries."
Highest school computer access,Technology,SCHBSP.1.WCOMPUT,UNESCO UIS,72,2023,124,100%,0%,80,caution,Observed/administrative,medium,internationally_reconciled,eligible after trust gate,"UIS harmonizes national administrative and survey data, but definitions and measurement capacity can vary across countries."
Highest outbound student mobility,Education,MOR.5T8.40505,UNESCO UIS,72,2023,95,0%,100%,80,caution,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"UIS harmonizes national administrative and survey data, but definitions and measurement capacity can vary across countries."
Highest STEM graduate share,Education,FOSGP.5T8.F500600700,UNESCO UIS,72,2023,95,100%,0%,80,caution,Observed/administrative,medium,internationally_reconciled,eligible after trust gate,"UIS harmonizes national administrative and survey data, but definitions and measurement capacity can vary across countries."
Lowest malaria incidence,Disease,MALARIA_EST_INCIDENCE,WHO,71,2024,105,0%,100%,84,approved,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"WHO-standardized health, survey, administrative, and modeled estimates with published methods."
Most refugees returned home,Displacement,solutions:coo:returned_refugees,UNHCR,69,2024,78,100%,0%,60,quarantined,Observed/administrative,high,needs_corroboration,quarantined,"Excluded because the current category quality, coverage, stability, or clustering score is below the v13.5 trust floor."
Highest school internet access,Technology,SCHBSP.1.WINTERN,UNESCO UIS,68,2023,103,100%,0%,55,quarantined,Observed/administrative,high,needs_corroboration,quarantined,"Excluded because the current category quality, coverage, stability, or clustering score is below the v13.5 trust floor."
Lowest youth NEET rate,Labor,EIP_NEET_SEX_RT_A,ILOSTAT,67,2022,112,—,—,55,quarantined,Modeled estimate,high,needs_corroboration,quarantined,"Excluded because the current category quality, coverage, stability, or clustering score is below the v13.5 trust floor."
Largest wheat exports,Trade,1001,UN Comtrade,67,2022,105,100%,0%,60,quarantined,Observed/administrative,high,needs_corroboration,quarantined,"Excluded because the current category quality, coverage, stability, or clustering score is below the v13.5 trust floor."
Most researchers per million people,Science,RESDEN.INHAB.TFTE,UNESCO UIS,65,2022,80,100%,0%,60,quarantined,Observed/administrative,high,needs_corroboration,quarantined,"Excluded because the current category quality, coverage, stability, or clustering score is below the v13.5 trust floor."
Lowest informal-employment rate,Labor,EMP_NIFL_SEX_RT_A,ILOSTAT,64,2023,79,—,—,55,quarantined,Modeled estimate,high,needs_corroboration,quarantined,"Excluded because the current category quality, coverage, stability, or clustering score is below the v13.5 trust floor."
