source_organization,source_indicator_code,previous_title,previous_decision,content_decision,player_title,plain_language_description,immediate_comprehension_score,gameplay_interest_score,uniqueness_score,reason,player_link_status,player_link_reason
FAOSTAT,QCL:'0141:5510,Largest soybeans production,approved,approved,Largest soybeans production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01530:5412,Highest sweet potatoes yield,approved,approved,Highest sweet potatoes yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01530:5510,Largest sweet potatoes production,approved,approved,Largest sweet potatoes production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01701:5412,Highest dry beans yield,approved,approved,Highest dry beans yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01701:5312,"Largest Beans, dry harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01701:5510,Largest dry beans production,approved,approved,Largest dry beans production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01241.90:5510,"Largest Other beans, green production",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01229:5510,Largest melons production,approved,approved,Largest melons production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01241.90:5312,"Largest Other beans, green harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02292:5318,Most Raw milk of goats milk-producing animals,excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01229:5312,Largest Cantaloupes and other melons harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01214:5312,Largest Lettuce and chicory harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01233:5510,Largest eggplants production,approved,approved,Largest eggplants production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01316:5412,"Highest mangoes, guavas, and mangosteens yield",approved,approved,"Highest mangoes, guavas, and mangosteens yield",,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01213:5510,Largest cauliflower and broccoli production,approved,approved,Largest cauliflower and broccoli production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01330:5312,Largest Grapes harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01705:5510,Largest dry peas production,approved,approved,Largest dry peas production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01330:5510,Largest grapes production,approved,approved,Largest grapes production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01229:5412,Highest melons yield,approved,approved,Highest melons yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01330:5412,Highest grapes yield,approved,approved,Highest grapes yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,SP.DYN.TFRT.IN,Highest fertility rate,approved,approved,Highest fertility rate,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,IP.JRN.ARTC.SC,Most scientific journal articles,approved,approved,Most scientific journal articles,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,IT.CEL.SETS.P2,Highest mobile subscriptions per 100 people,approved,approved,Highest mobile subscriptions per 100 people,,91,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
Natural Earth,largest-geographic-span,Largest geographic span,excluded,excluded,,,,,,Ambiguous diagonal extent; north-south span is clearer and retained.,not_applicable,Previously excluded from the catalog.
Natural Earth,largest-north-south-span,Largest north-south span,approved,approved,Largest north-south span,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,unavailable,No official external webpage publishes the exact GeoStats-derived country ranking.
World Bank,SP.DYN.IMRT.IN,Lowest infant mortality,approved,approved,Lowest infant mortality,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
Natural Earth,northernmost-country,Northernmost country,approved,approved,Northernmost country,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,unavailable,No official external webpage publishes the exact GeoStats-derived country ranking.
Natural Earth,southernmost-country,Southernmost country,approved,approved,Southernmost country,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,unavailable,No official external webpage publishes the exact GeoStats-derived country ranking.
World Bank,SH.XPD.CHEX.GD.ZS,Highest health spending share,approved,approved,Highest health-spending share of GDP,Health spending as a share of the country’s economy.,86,86,86,Approved after clarity review with a plainer title and explicit description.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
FAOSTAT,QCL:'21121:5321,"Most Meat of chickens, fresh or chilled producing animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1808:5321,"Most Meat, Poultry producing animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
World Bank,SL.TLF.CACT.FE.ZS,Highest female labor participation,approved,approved,Highest share of women working or seeking work,Share of women age 15+ who are working or actively looking for work.,94,86,86,Approved after clarity review with a plainer title and explicit description.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
FAOSTAT,QCL:'F1807:5320,Most Sheep and Goat Meat producing animals,excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01290.90:5510,"Largest Other vegetables, fresh n.e.c. production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01290.90:5312,"Largest Other vegetables, fresh n.e.c. harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02151:5112,Largest chicken population,approved,approved,Largest chicken population,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F2029:5112,Largest Poultry Birds stocks,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21155:5320,"Most Edible offal of sheep, fresh, chilled or frozen producing animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21115:5320,"Most Meat of sheep, fresh or chilled producing animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02953:5320,Most Raw hides and skins of sheep or lambs producing animals,excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21514:5320,"Most Sheep fat, unrendered producing animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
World Bank,NE.EXP.GNFS.ZS,Highest exports share of GDP,approved,approved,Most export-dependent economy,Exports of goods and services as a share of GDP.,94,86,86,Approved after clarity review with a plainer title and explicit description.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
FAOSTAT,QCL:'21156:5320,"Most Edible offal of goat, fresh, chilled or frozen producing animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21515:5320,"Most Goat fat, unrendered producing animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21116:5320,"Most Meat of goat, fresh or chilled producing animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02954:5320,Most Raw hides and skins of goats or kids producing animals,excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21116:5510,"Largest Meat of goat, fresh or chilled production",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1783:5510,Largest Eggs Primary production,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21113.01:5417,"Highest Meat of pig with the bone, fresh or chilled yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1804:5312,"Largest Citrus Fruit, Total harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1804:5510,"Largest Citrus Fruit, Total production",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01312:5312,Largest Bananas harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01312:5510,Largest bananas production,approved,approved,Largest bananas production,,94,91,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01323:5510,Largest oranges production,approved,approved,Largest oranges production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01359.90:5412,"Highest Other fruits, n.e.c. yield",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01323:5312,Largest Oranges harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01970:5312,Largest Unmanufactured tobacco harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01970:5510,Largest tobacco production,approved,approved,Largest tobacco production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01322:5510,Largest lemons and limes production,approved,approved,Largest lemons and limes production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01322:5312,Largest Lemons and limes harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02910:5510,Largest honey production,approved,approved,Largest honey production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01709.90:5412,Highest Other pulses n.e.c. yield,excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01530:5312,Largest Sweet potatoes harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02132:5111,Largest Asses stocks,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F17530:5412,"Highest Fibre Crops, Fibre Equivalent yield",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01233:5312,Largest Eggplants (aubergines) harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01316:5510,"Largest mangoes, guavas, and mangosteens production",approved,approved,"Largest mangoes, guavas, and mangosteens production",,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01213:5312,Largest Cauliflowers and broccoli harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01341:5510,Largest apples production,approved,approved,Largest apples production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01802:5412,Highest sugarcane yield,approved,approved,Highest sugarcane yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01341:5312,Largest Apples harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01520.01:5412,Highest cassava yield,approved,approved,Highest cassava yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01233:5412,Highest eggplants yield,approved,approved,Highest eggplants yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01520.01:5510,Largest cassava production,approved,approved,Largest cassava production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,AG.LND.FRST.K2,Largest forest area,approved,approved,Largest forest area,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,AG.LND.TOTL.K2,Largest land area,approved,approved,Largest land area,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,AG.LND.AGRI.K2,Largest agricultural land area,excluded,excluded,,,,,,Near-duplicate of land area and arable-land totals.,not_applicable,Previously excluded from the catalog.
Natural Earth,longest-coastline,Longest coastline,approved,approved,Longest coastline,,94,91,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,unavailable,No official external webpage publishes the exact GeoStats-derived country ranking.
FAOSTAT,QCL:'F1783:5313,Most Eggs Primary laying animals,excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'0231:5313,"Most Hen eggs in shell, fresh laying animals",excluded,excluded,,,,,,Technical animal-input count removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1732:5312,"Largest Oilcrops, Oil Equivalent harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1732:5510,"Largest Oilcrops, Oil Equivalent production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21512:5510,"Largest Cattle fat, unrendered production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21151:5510,"Largest Edible offal of cattle, fresh, chilled or frozen production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1841:5312,"Largest Oilcrops, Cake Equivalent harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1841:5510,"Largest Oilcrops, Cake Equivalent production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02951.01:5510,Largest Raw hides and skins of cattle production,excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21155:5510,"Largest Edible offal of sheep, fresh, chilled or frozen production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02953:5510,Largest Raw hides and skins of sheep or lambs production,excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21514:5510,"Largest Sheep fat, unrendered production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21156:5510,"Largest Edible offal of goat, fresh, chilled or frozen production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21515:5510,"Largest Goat fat, unrendered production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02954:5510,Largest Raw hides and skins of goats or kids production,excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21153:5510,"Largest Edible offal of pigs, fresh, chilled or frozen production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21511.01:5510,Largest Fat of pigs production,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01359.90:5312,"Largest Other fruits, n.e.c. harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01359.90:5510,"Largest Other fruits, n.e.c. production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F17530:5510,"Largest Fibre Crops, Fibre Equivalent production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'22241.01:5510,Largest Butter of cow milk production,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F17530:5312,"Largest Fibre Crops, Fibre Equivalent harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02196:5114,Largest bee population,approved,excluded,,,45,40,0,Removed pending clearer source semantics and a player-facing unit; “bee population” may be misleading.,not_applicable,Category is excluded by content review.
FAOSTAT,QCL:'01316:5312,"Largest Mangoes, guavas and mangosteens harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01802:5510,Largest sugarcane production,approved,approved,Largest sugarcane production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01520.01:5312,"Largest Cassava, fresh harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01346:5510,Largest plums and sloes production,approved,approved,Largest plums and sloes production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01346:5412,Highest plums and sloes yield,approved,approved,Highest plums and sloes yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01342.01:5412,Highest pears yield,approved,approved,Highest pears yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,SP.DYN.LE00.IN,Highest life expectancy,approved,approved,Highest life expectancy,,94,91,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,EN.POP.DNST,Highest population density,approved,approved,Highest population density,,91,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,AG.LND.ARBL.HA,Most arable land,approved,approved,Most arable land,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
FAOSTAT,QCL:'F1807:5417,Highest Sheep and Goat Meat yield,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21115:5417,"Highest Meat of sheep, fresh or chilled yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
UNHCR,asylum-applications:coa:applied,Most asylum applications received,approved,approved,Most asylum applications received,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,TX.VAL.FOOD.ZS.UN,Highest food share of exports,approved,approved,Highest food share of exports,Food products as a share of all merchandise exports.,94,86,86,Approved after clarity review with a plainer title and explicit description.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
FAOSTAT,QCL:'F1811:5510,Largest butter and ghee production,approved,approved,Largest butter and ghee production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1745:5510,Largest cheese production,approved,approved,Largest cheese production,,94,91,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'22251.01:5510,Largest Cheese from whole cow milk production,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01311:5312,Largest Avocados harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01311:5510,Largest avocado production,approved,approved,Largest avocado production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01319:5510,"Largest Other tropical fruits, n.e.c. production",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01802:5312,Largest Sugar cane harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01345:5312,Largest Peaches and nectarines harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01345:5510,Largest peaches and nectarines production,approved,approved,Largest peaches and nectarines production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01346:5312,Largest Plums and sloes harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01342.01:5510,Largest pears production,approved,approved,Largest pears production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01342.01:5312,Largest Pears harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02291:5510,Largest Raw milk of sheep production,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01318:5412,Highest pineapple yield,approved,approved,Highest pineapple yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01318:5510,Largest pineapple production,approved,approved,Largest pineapple production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01242:5412,Highest green peas yield,approved,approved,Highest green peas yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
