tracker_id,scope_type,category_title,domain,experience_bucket,semantic_family,source_candidate,source_indicator,common_year,country_coverage,integrity,user_note,requested_action,research_status,implementation_status,final_disposition,blocker_or_reason,source_url,validation_requirements,generation_priority_candidate
existing:SH.H2O.BASW\.ZS,existing_playable,Highest share with basic drinking-water access,Infrastructure,,,World Bank,SH.H2O.BASW\.ZS,2024,183,verified,Great Category,retain_priority,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/SH.H2O.BASW.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:DT.DOD.DSTC.ZS,existing_playable,Highest short-term share of external debt,Economy,,,World Bank,DT.DOD.DSTC.ZS,2024,117,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/DT.DOD.DSTC.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GRT.TECH.CD.WD,existing_playable,Highest technical cooperation grants,Economy,,,World Bank,BX.GRT.TECH.CD.WD,2023,135,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GRT.TECH.CD.WD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CO2.MT.CE.AR5,existing_playable,Highest total CO₂ emissions,Environment,,,World Bank,EN.GHG.CO2.MT.CE.AR5,2024,186,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CO2.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FI.RES.TOTL.CD,existing_playable,Highest total reserves,Economy,,,World Bank,FI.RES.TOTL.CD,2025,121,verified,Confusing - what is in a reserve. Also never seen this in gameplay,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/FI.RES.TOTL.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FI.RES.XGLD.CD,existing_playable,Highest total reserves minus gold,Economy,,,World Bank,FI.RES.XGLD.CD,2025,121,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/FI.RES.XGLD.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.TRAN.ZS,existing_playable,Highest transport share of service exports,Economy,,,World Bank,BX.GSR.TRAN.ZS,2024,159,verified,What does the mean,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.TRAN.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BM.GSR.TRAN.ZS,existing_playable,Highest transport share of service imports,Economy,,,World Bank,BM.GSR.TRAN.ZS,2024,159,verified,What does the mean,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BM.GSR.TRAN.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.TRVL.ZS,existing_playable,Highest travel share of service exports,Economy,,,World Bank,BX.GSR.TRVL.ZS,2024,159,verified,What does the mean,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.TRVL.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BM.GSR.TRVL.ZS,existing_playable,Highest travel share of service imports,Economy,,,World Bank,BM.GSR.TRVL.ZS,2024,158,verified,What does the mean,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BM.GSR.TRVL.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:GVP_HOLOCENE_HIGHEST_VOLCANO,existing_playable,Highest volcano,Geology,,,Smithsonian GVP,GVP_HOLOCENE_HIGHEST_VOLCANO,2026,67,verified,See this all the time,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://volcano.si.edu/volcanolist_holocene.cfm,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:NV.AGR.TOTL.CD,existing_playable,Largest agricultural economy,Agriculture,,,World Bank,NV.AGR.TOTL.CD,2025,156,verified,Great Category,retain_priority,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/NV.AGR.TOTL.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:88,existing_playable,Largest aircraft exports,Trade,,,UN Comtrade,88,2025,87,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EG.USE.COMM.CL.ZS,existing_playable,Largest alternative-and-nuclear share of energy use,Energy,,,World Bank,EG.USE.COMM.CL.ZS,2023,146,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EG.USE.COMM.CL.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:76,existing_playable,Largest aluminum exports,Trade,,,UN Comtrade,76,2024,131,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:0808,existing_playable,Largest apple-and-pear exports,Trade,,,UN Comtrade,0808,2025,73,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:ER.FSH.AQUA.MT,existing_playable,Largest aquaculture production,Environment,,,World Bank,ER.FSH.AQUA.MT,2024,194,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/ER.FSH.AQUA.MT,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:MS.MIL.MPRT.KD,existing_playable,Largest arms imports,Government,,,World Bank,MS.MIL.MPRT.KD,2024,111,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/MS.MIL.MPRT.KD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:0803,existing_playable,Largest banana exports,Trade,,,UN Comtrade,0803,2025,79,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:0201+0202,existing_playable,Largest beef exports,Trade,,,UN Comtrade,0201+0202,2025,82,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:2203,existing_playable,Largest beer exports,Trade,,,UN Comtrade,2203,2025,88,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_BUDDHIST_POPULATION,existing_playable,Largest Buddhist population,Religion,,,Pew Research Center,PEW_RELIGION_2020_BUDDHIST_POPULATION,2020,179,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:QCL:'02112:5111,existing_playable,Largest buffalo population,Livestock,,,FAOSTAT,QCL:'02112:5111,2024,60,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/QCL,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:ER.FSH.CAPT.MT,existing_playable,Largest capture fisheries production,Environment,,,World Bank,ER.FSH.CAPT.MT,2024,194,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/ER.FSH.CAPT.MT,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:8703,existing_playable,Largest car exports,Trade,,,UN Comtrade,8703,2025,88,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:QCL:'02111:5111,existing_playable,Largest cattle population,Livestock,,,FAOSTAT,QCL:'02111:5111,2024,182,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/QCL,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:69,existing_playable,Largest ceramic exports,Trade,,,UN Comtrade,69,2025,92,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:0406,existing_playable,Largest cheese exports,Trade,,,UN Comtrade,0406,2025,82,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:28+29+38,existing_playable,Largest chemical exports,Trade,,,UN Comtrade,28+29+38,2024,130,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:1806,existing_playable,Largest chocolate exports,Trade,,,UN Comtrade,1806,2025,88,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_CHRISTIAN_POPULATION,existing_playable,Largest Christian population,Religion,,,Pew Research Center,PEW_RELIGION_2020_CHRISTIAN_POPULATION,2020,179,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:0805,existing_playable,Largest citrus-fruit exports,Trade,,,UN Comtrade,0805,2025,83,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:61+62,existing_playable,Largest clothing exports,Trade,,,UN Comtrade,61+62,2024,131,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:1801,existing_playable,Largest cocoa-bean exports,Trade,,,UN Comtrade,1801,2025,64,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:0901,existing_playable,Largest coffee exports,Trade,,,UN Comtrade,0901,2025,87,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:QCL:'F1746:5111,existing_playable,Largest combined cattle and buffalo population,Livestock,,,FAOSTAT,QCL:'F1746:5111,2024,182,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/QCL,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:QCL:'F1749:5111,existing_playable,Largest combined sheep and goat population,Livestock,,,FAOSTAT,QCL:'F1749:5111,2024,178,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/QCL,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:8471,existing_playable,Largest computer exports,Trade,,,UN Comtrade,8471,2025,90,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:8542,existing_playable,Largest computer-chip exports,Trade,,,UN Comtrade,8542,2025,86,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:largest-continuous-land-area,existing_playable,Largest continuous land area,Geography,,,Natural Earth,largest-continuous-land-area,2022,195,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.naturalearthdata.com/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:74,existing_playable,Largest copper exports,Trade,,,UN Comtrade,74,2025,91,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:52,existing_playable,Largest cotton exports,Trade,,,UN Comtrade,52,2025,88,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:QCL:'02132:5111,existing_playable,Largest donkey population,Agriculture,,,FAOSTAT,QCL:'02132:5111,2024,104,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/QCL,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:NY.GDP.MKTP.CD,existing_playable,Largest economy,Economy,,,World Bank,NY.GDP.MKTP.CD,2025,181,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:85,existing_playable,Largest electrical-equipment exports,Trade,,,UN Comtrade,85,2024,131,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.GNFS.CD,existing_playable,Largest exports of goods and services,Economy,,,World Bank,BX.GSR.GNFS.CD,2024,161,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.GNFS.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:NE.EXP.GNFS.CN,existing_playable,Largest exports of goods and services,Economy,,,World Bank,NE.EXP.GNFS.CN,2025,134,verified,Repeat,duplicate_review,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/NE.EXP.GNFS.CN,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:NE.EXP.GNFS.KN,existing_playable,Largest exports of goods and services,Economy,,,World Bank,NE.EXP.GNFS.KN,2025,126,verified,Repeat,duplicate_review,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/NE.EXP.GNFS.KN,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.TOTL.CD,existing_playable,"Largest exports of goods, services and primary income",Economy,,,World Bank,BX.GSR.TOTL.CD,2024,161,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.TOTL.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:03,existing_playable,Largest fish exports,Trade,,,UN Comtrade,03,2024,129,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:64,existing_playable,Largest footwear exports,Trade,,,UN Comtrade,64,2025,91,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:AG.LND.FRST.K2,existing_playable,Largest forest area,Land,,,World Bank,AG.LND.FRST.K2,2023,194,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/AG.LND.FRST.K2,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:AG.LND.FRST.ZS,existing_playable,Largest forest share of land,Land,,,World Bank,AG.LND.FRST.ZS,2023,194,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/AG.LND.FRST.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EG.ELC.FOSL.ZS,existing_playable,Largest fossil-fuel share of electricity generation,Energy,,,World Bank,EG.ELC.FOSL.ZS,2022,145,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EG.ELC.FOSL.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:94,existing_playable,Largest furniture exports,Trade,,,UN Comtrade,94,2024,130,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:70,existing_playable,Largest glass exports,Trade,,,UN Comtrade,70,2024,131,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:QCL:'02123:5111,existing_playable,Largest goat population,Livestock,,,FAOSTAT,QCL:'02123:5111,2024,175,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/QCL,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:7108,existing_playable,Largest gold exports,Trade,,,UN Comtrade,7108,2025,81,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.MRCH.CD,existing_playable,Largest goods exports,Economy,,,World Bank,BX.GSR.MRCH.CD,2024,161,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.MRCH.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BM.GSR.MRCH.CD,existing_playable,Largest goods imports,Economy,,,World Bank,BM.GSR.MRCH.CD,2024,161,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BM.GSR.MRCH.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:TX.VAL.TECH.CD,existing_playable,Largest high-tech exports,Trade,,,World Bank,TX.VAL.TECH.CD,2024,121,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/TX.VAL.TECH.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_HINDU_POPULATION,existing_playable,Largest Hindu population,Religion,,,Pew Research Center,PEW_RELIGION_2020_HINDU_POPULATION,2020,179,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:QCL:'02131:5111,existing_playable,Largest horse population,Livestock,,,FAOSTAT,QCL:'02131:5111,2024,137,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/QCL,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EG.ELC.HYRO.ZS,existing_playable,Largest hydroelectric share of electricity generation,Energy,,,World Bank,EG.ELC.HYRO.ZS,2023,126,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EG.ELC.HYRO.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.CCIS.CD,existing_playable,Largest iCT service exports,Economy,,,World Bank,BX.GSR.CCIS.CD,2024,155,verified,What is iCT,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.CCIS.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.CCIS.ZS,existing_playable,Largest ICT-service share of service exports,Economy,,,World Bank,BX.GSR.CCIS.ZS,2024,155,verified,What is iCT,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.CCIS.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BM.GSR.GNFS.CD,existing_playable,Largest imports of goods and services,Economy,,,World Bank,BM.GSR.GNFS.CD,2024,161,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BM.GSR.GNFS.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BM.GSR.TOTL.CD,existing_playable,"Largest imports of goods, services and primary income",Economy,,,World Bank,BM.GSR.TOTL.CD,2024,161,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BM.GSR.TOTL.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:ER.H2O.FWIN.ZS,existing_playable,Largest industry share of freshwater withdrawals,Infrastructure,,,World Bank,ER.H2O.FWIN.ZS,2022,176,verified,What does this mean,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/ER.H2O.FWIN.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.INSF.ZS,existing_playable,Largest insurance-and-financial-services share of service exports,Economy,,,World Bank,BX.GSR.INSF.ZS,2024,150,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.INSF.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BM.GSR.INSF.ZS,existing_playable,Largest insurance-and-financial-services share of service imports,Economy,,,World Bank,BM.GSR.INSF.ZS,2024,157,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BM.GSR.INSF.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:72+73,existing_playable,Largest iron-and-steel exports,Trade,,,UN Comtrade,72+73,2024,131,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_JEWISH_POPULATION,existing_playable,Largest Jewish population,Religion,,,Pew Research Center,PEW_RELIGION_2020_JEWISH_POPULATION,2020,179,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:AG.LND.TOTL.K2,existing_playable,Largest land area,Land,,,World Bank,AG.LND.TOTL.K2,2023,194,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/AG.LND.TOTL.K2,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:AG.LND.CREL.HA,existing_playable,Largest land under cereal production,Agriculture,,,World Bank,AG.LND.CREL.HA,2023,177,verified,I think this is great but it is said in a weird way - is this just Most land dedicated to cereal production?,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/AG.LND.CREL.HA,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:84,existing_playable,Largest machinery exports,Trade,,,UN Comtrade,84,2024,131,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:1005,existing_playable,Largest maize exports,Trade,,,UN Comtrade,1005,2025,84,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:NV.IND.MANF.CD,existing_playable,Largest manufacturing output,Economy,,,World Bank,NV.IND.MANF.CD,2025,130,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/NV.IND.MANF.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:90,existing_playable,Largest medical-and-optical equipment exports,Trade,,,UN Comtrade,90,2024,130,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:TX.VAL.MRCH.CD.WT,existing_playable,Largest merchandise exports,Trade,,,World Bank,TX.VAL.MRCH.CD.WT,2025,190,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/TX.VAL.MRCH.CD.WT,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:TM.VAL.MRCH.CD.WT,existing_playable,Largest merchandise imports,Trade,,,World Bank,TM.VAL.MRCH.CD.WT,2025,190,verified,Repeat,duplicate_review,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/TM.VAL.MRCH.CD.WT,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:MS.MIL.XPND.ZS,existing_playable,Largest military share of government spending,Government,,,World Bank,MS.MIL.XPND.ZS,2024,143,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/MS.MIL.XPND.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:8711,existing_playable,Largest motorcycle exports,Trade,,,UN Comtrade,8711,2025,86,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:QCL:'02133:5111,existing_playable,Largest mule and hinny population,Agriculture,,,FAOSTAT,QCL:'02133:5111,2024,64,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/QCL,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_MUSLIM_POPULATION,existing_playable,Largest Muslim population,Religion,,,Pew Research Center,PEW_RELIGION_2020_MUSLIM_POPULATION,2020,179,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:2711,existing_playable,Largest natural-gas exports,Trade,,,UN Comtrade,2711,2025,76,verified,remove the dash,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://comtradeplus.un.org/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
