category_title,source,domain_and_series,source_line,legacy_rejection_basis_seed,required_v16_2_6_action
"Most fibre Crops, Fibre Equivalent produced",FAOSTAT,Crops · QCL:'F17530:5510,851,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most butter of cow milk produced,FAOSTAT,Dairy · QCL:'22241.01:5510,852,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Fibre Crops, Fibre Equivalent harvested area",FAOSTAT,Crops · QCL:'F17530:5312,853,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest bee population,FAOSTAT,Agriculture · QCL:'02196:5114,854,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Mangoes, guavas and mangosteens harvested area",FAOSTAT,Fruit · QCL:'01316:5312,855,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Cassava, fresh harvested area",FAOSTAT,Crops · QCL:'01520.01:5312,857,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest plums and sloes yield,FAOSTAT,Agriculture · QCL:'01346:5412,859,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest pears yield,FAOSTAT,Agriculture · QCL:'01342.01:5412,860,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest pineapple yield,FAOSTAT,Fruit · QCL:'01318:5412,862,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest green peas yield,FAOSTAT,Agriculture · QCL:'01242:5412,863,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest strawberries yield,FAOSTAT,Agriculture · QCL:'01354:5412,864,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest coconuts yield,FAOSTAT,Agriculture · QCL:'01460:5412,865,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest peaches and nectarines yield,FAOSTAT,Agriculture · QCL:'01345:5412,866,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest oats yield,FAOSTAT,Agriculture · QCL:'0117:5412,867,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest coffee yield,FAOSTAT,Crops · QCL:'01610:5412,868,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest millet yield,FAOSTAT,Agriculture · QCL:'0118:5412,869,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest sunflower seeds yield,FAOSTAT,Agriculture · QCL:'01445:5412,870,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest avocado yield,FAOSTAT,Fruit · QCL:'01311:5412,872,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest grapefruits and pomelos yield,FAOSTAT,Fruit · QCL:'01321:5412,873,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest mandarins and tangerines yield,FAOSTAT,Agriculture · QCL:'01324:5412,874,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest sesame seeds yield,FAOSTAT,Agriculture · QCL:'01444:5412,875,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Sheep and Goat Meat yield,FAOSTAT,Livestock · QCL:'F1807:5417,877,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of sheep, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21115:5417,878,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most cheese from whole cow milk produced,FAOSTAT,Dairy · QCL:'22251.01:5510,881,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Avocados harvested area,FAOSTAT,Fruit · QCL:'01311:5312,882,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Sugar cane harvested area,FAOSTAT,Crops · QCL:'01802:5312,883,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other tropical fruits, n.e.c. produced",FAOSTAT,Fruit · QCL:'01319:5510,885,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Peaches and nectarines harvested area,FAOSTAT,Agriculture · QCL:'01345:5312,886,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Plums and sloes harvested area,FAOSTAT,Agriculture · QCL:'01346:5312,888,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Pears harvested area,FAOSTAT,Agriculture · QCL:'01342.01:5312,890,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most raw milk of sheep produced,FAOSTAT,Livestock · QCL:'02291:5510,891,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest apricot yield,FAOSTAT,Agriculture · QCL:'01343:5412,894,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest industry share of GDP,World Bank,Economy · NV.IND.TOTL.ZS,896,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest services share of GDP,World Bank,Economy · NV.SRV.TOTL.ZS,897,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Fastest labor-productivity growth,ILOSTAT,Economy · SDG_0821_NOC_RT_A,899,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of goat, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21116:5417,901,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most skim Milk & Buttermilk, Dry produced",FAOSTAT,Dairy · QCL:'F1809:5510,903,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Raw hides and skins of cattle yield,FAOSTAT,Livestock · QCL:'02951.01:5417,905,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most buttermilk, dry produced",FAOSTAT,Dairy · QCL:'22230.04:5510,908,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most skim milk of cows produced,FAOSTAT,Dairy · QCL:'22110.02:5510,910,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most molasses produced,FAOSTAT,Agriculture · QCL:'23540:5510,912,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Other tropical fruits, n.e.c. harvested area",FAOSTAT,Fruit · QCL:'01319:5312,913,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Pomelos and grapefruits harvested area,FAOSTAT,Fruit · QCL:'01321:5312,915,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Seed cotton, unginned yield",FAOSTAT,Crops · QCL:'01921.01:5412,918,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Peas, green harvested area",FAOSTAT,Agriculture · QCL:'01242:5312,919,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Pineapples harvested area,FAOSTAT,Fruit · QCL:'01318:5312,920,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Sunflower seed harvested area,FAOSTAT,Agriculture · QCL:'01445:5312,921,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Strawberries harvested area,FAOSTAT,Agriculture · QCL:'01354:5312,923,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Oats harvested area,FAOSTAT,Agriculture · QCL:'0117:5312,925,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg produced",FAOSTAT,Crops · QCL:'23913:5510,928,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most soya bean oil produced,FAOSTAT,Crops · QCL:'2161:5510,929,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Tangerines, mandarins, clementines harvested area",FAOSTAT,Agriculture · QCL:'01324:5312,930,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most seed cotton, unginned produced",FAOSTAT,Crops · QCL:'01921.01:5510,931,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Seed cotton, unginned harvested area",FAOSTAT,Crops · QCL:'01921.01:5312,932,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Raw milk of sheep milk-producing animals,FAOSTAT,Livestock · QCL:'02291:5318,933,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Other tropical fruits, n.e.c. yield",FAOSTAT,Fruit · QCL:'01319:5412,935,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest methane (CH4) emissions (total) excluding LULUCF,World Bank,Environment · EN.GHG.CH4.ZG.AR5,946,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest nitrous oxide (N2O) emissions (total) excluding LULUCF,World Bank,Environment · EN.GHG.N2O.MT.CE.AR5,950,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest nitrous oxide (N2O) emissions (total) excluding LULUCF,World Bank,Environment · EN.GHG.N2O.ZG.AR5,951,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest total greenhouse gas emissions excluding LULUCF,World Bank,Environment · EN.GHG.TOT.ZG.AR5,956,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest carbon dioxide (CO2) emissions (total) excluding LULUCF,World Bank,Environment · EN.GHG.CO2.ZG.AR5,959,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest internet usage,World Bank,Technology · IT.NET.USER.ZS,966,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest methane (CH4) emissions from Fugitive Emissions (Energy),World Bank,Environment · EN.GHG.CH4.FE.MT.CE.AR5,968,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest methane (CH4) emissions from Industrial Combustion (Energy),World Bank,Environment · EN.GHG.CH4.IC.MT.CE.AR5,969,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest methane (CH4) emissions from Power Industry (Energy),World Bank,Environment · EN.GHG.CH4.PI.MT.CE.AR5,970,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest nitrous oxide (N2O) emissions from Building (Energy),World Bank,Environment · EN.GHG.N2O.BU.MT.CE.AR5,972,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest nitrous oxide (N2O) emissions from Industrial Combustion (Energy),World Bank,Environment · EN.GHG.N2O.IC.MT.CE.AR5,973,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest nitrous oxide (N2O) emissions from Power Industry (Energy),World Bank,Environment · EN.GHG.N2O.PI.MT.CE.AR5,974,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest nitrous oxide (N2O) emissions from Transport (Energy),World Bank,Environment · EN.GHG.N2O.TR.MT.CE.AR5,975,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest carbon intensity of GDP,World Bank,Environment · EN.GHG.CO2.RT.GDP.PP.KD,976,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most cotton seed produced,FAOSTAT,Crops · QCL:'0143:5510,1000,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most margarine and shortening produced,FAOSTAT,Agriculture · QCL:'21700.02:5510,1001,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. produced",FAOSTAT,Agriculture · QCL:'01379.90:5510,1003,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Apricots harvested area,FAOSTAT,Agriculture · QCL:'01343:5312,1004,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Millet harvested area,FAOSTAT,Agriculture · QCL:'0118:5312,1005,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Raw milk of sheep yield,FAOSTAT,Livestock · QCL:'02291:5417,1007,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Coffee, green harvested area",FAOSTAT,Crops · QCL:'01610:5312,1008,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Spinach yield,FAOSTAT,Agriculture · QCL:'01215:5412,1009,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Rape or colza seed harvested area,FAOSTAT,Agriculture · QCL:'01443:5312,1010,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most rape or colza seed produced,FAOSTAT,Agriculture · QCL:'01443:5510,1011,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Rape or colza seed yield,FAOSTAT,Agriculture · QCL:'01443:5412,1012,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Rye yield,FAOSTAT,Agriculture · QCL:'0116:5412,1013,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest nitrous oxide (N2O) emissions from Fugitive Emissions (Energy),World Bank,Environment · EN.GHG.N2O.FE.MT.CE.AR5,1016,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Raw hides and skins of sheep or lambs yield,FAOSTAT,Livestock · QCL:'02953:5417,1025,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. harvested area",FAOSTAT,Agriculture · QCL:'01379.90:5312,1028,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Coconuts, in shell harvested area",FAOSTAT,Agriculture · QCL:'01460:5312,1029,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most spinach produced,FAOSTAT,Agriculture · QCL:'01215:5510,1033,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Cherries harvested area,FAOSTAT,Agriculture · QCL:'01344.02:5312,1035,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Broad beans and horse beans, dry yield",FAOSTAT,Livestock · QCL:'01702:5412,1036,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Rye harvested area,FAOSTAT,Agriculture · QCL:'0116:5312,1037,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most rye produced,FAOSTAT,Agriculture · QCL:'0116:5510,1038,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Sugar beet harvested area,FAOSTAT,Crops · QCL:'01801:5312,1039,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest current account balance,World Bank,Economy · BN.CAB.XOKA.CD,1041,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Largest exports,World Bank,Economy · NE.EXP.GNFS.CD,1045,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest imports,World Bank,Economy · NE.IMP.GNFS.CD,1046,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most groundnut oil produced,FAOSTAT,Agriculture · QCL:'2162:5510,1053,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most cottonseed oil produced,FAOSTAT,Crops · QCL:'2168:5510,1054,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of ducks, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21122:5510,1056,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of ducks, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21122:5321,1057,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Other oil seeds, n.e.c. harvested area",FAOSTAT,Agriculture · QCL:'01449.90:5312,1058,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most shorn wool, greasy, including fleece-washed shorn wool produced",FAOSTAT,Agriculture · QCL:'02941:5510,1059,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Sesame seed harvested area,FAOSTAT,Agriculture · QCL:'01444:5312,1060,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of ducks, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21122:5424,1061,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Papayas yield,FAOSTAT,Agriculture · QCL:'01317:5412,1062,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Papayas harvested area,FAOSTAT,Agriculture · QCL:'01317:5312,1063,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Spinach harvested area,FAOSTAT,Agriculture · QCL:'01215:5312,1064,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Broad beans and horse beans, dry harvested area",FAOSTAT,Livestock · QCL:'01702:5312,1065,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most broad beans and horse beans, dry produced",FAOSTAT,Livestock · QCL:'01702:5510,1066,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Walnuts, in shell harvested area",FAOSTAT,Agriculture · QCL:'01376:5312,1067,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Sugar beet yield,FAOSTAT,Crops · QCL:'01801:5412,1068,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Other berries and fruits of the genus vaccinium n.e.c. harvested area,FAOSTAT,Fruit · QCL:'01355.90:5312,1069,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest carbon dioxide (CO2) emissions from Fugitive Emissions (Energy),World Bank,Environment · EN.GHG.CO2.FE.MT.CE.AR5,1075,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest estimated dairy consumption per person,FAOSTAT Food Balances,Food consumption · FBS:dairy-products,1080,duplicate_explicit,preserve exclusion unless duplicate target is removed or concept materially differs
Highest final consumption expenditure,World Bank,Economy · NE.CON.TOTL.ZS,1105,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest general government final consumption expenditure,World Bank,Economy · NE.CON.GOVT.ZS,1106,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest final consumption expenditure,World Bank,Economy · NE.CON.TOTL.CD,1107,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest government consumption,World Bank,Government · NE.CON.GOVT.CD,1108,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross national expenditure,World Bank,Economy · NE.DAB.TOTL.ZS,1109,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest households and NPISHs final consumption expenditure,World Bank,Economy · NE.CON.PRVT.ZS,1110,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross national expenditure,World Bank,Economy · NE.DAB.TOTL.CD,1111,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest household consumption,World Bank,Economy · NE.CON.PRVT.CD,1112,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest final consumption expenditure,World Bank,Economy · NE.CON.TOTL.KD,1113,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest households and NPISHs Final consumption expenditure per capita, PPP",World Bank,Development · NE.CON.PCAP.PP.KD,1115,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest households and NPISHs Final consumption expenditure, PPP",World Bank,Economy · NE.CON.PRVT.PP.KD,1116,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest military expenditure,World Bank,Government · MS.MIL.XPND.CN,1119,duplicate_explicit,preserve exclusion unless duplicate target is removed or concept materially differs
Highest Raw hides and skins of goats or kids yield,FAOSTAT,Livestock · QCL:'02954:5417,1121,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most sunflower-seed oil, crude produced",FAOSTAT,Agriculture · QCL:'21631.01:5510,1122,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Other citrus fruit, n.e.c. harvested area",FAOSTAT,Fruit · QCL:'01329:5312,1123,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most evaporated & Condensed Milk produced,FAOSTAT,Dairy · QCL:'F1816:5510,1124,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other citrus fruit, n.e.c. produced",FAOSTAT,Fruit · QCL:'01329:5510,1125,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most cream, fresh produced",FAOSTAT,Dairy · QCL:'22120:5510,1126,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other oil seeds, n.e.c. produced",FAOSTAT,Agriculture · QCL:'01449.90:5510,1127,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Edible offals of horses and other equines, fresh, chilled or frozen producing animals",FAOSTAT,Livestock · QCL:'21159.01:5320,1128,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Horse meat, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21118.01:5320,1129,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Other oil seeds, n.e.c. yield",FAOSTAT,Agriculture · QCL:'01449.90:5412,1131,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most broad beans and horse beans, green produced",FAOSTAT,Livestock · QCL:'01243:5510,1132,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Cherries yield,FAOSTAT,Agriculture · QCL:'01344.02:5412,1133,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Broad beans and horse beans, green harvested area",FAOSTAT,Livestock · QCL:'01243:5312,1134,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Cereals n.e.c. harvested area,FAOSTAT,Crops · QCL:'01199.90:5312,1135,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of turkeys, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21124:5510,1136,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most other berries and fruits of the genus vaccinium n.e.c. produced,FAOSTAT,Fruit · QCL:'01355.90:5510,1138,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Broad beans and horse beans, green yield",FAOSTAT,Livestock · QCL:'01243:5412,1139,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Other berries and fruits of the genus vaccinium n.e.c. yield,FAOSTAT,Fruit · QCL:'01355.90:5412,1140,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Walnuts, in shell yield",FAOSTAT,Agriculture · QCL:'01376:5412,1141,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most leeks and other alliaceous vegetables produced,FAOSTAT,Vegetables · QCL:'01254:5510,1142,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Leeks and other alliaceous vegetables yield,FAOSTAT,Vegetables · QCL:'01254:5412,1143,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most raspberries produced,FAOSTAT,Agriculture · QCL:'01353.01:5510,1144,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest fixed telephone subscriptions per 100 people,World Bank,Technology · IT.MLT.MAIN.P2,1154,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest agricultural land area,World Bank,Agriculture · AG.LND.AGRI.K2,1155,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most separate land areas,Natural Earth,Geography · most-separate-land-areas,1157,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest primary-school enrollment,UNESCO UIS,Education · GER.1,1163,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest carbon dioxide (CO2) net fluxes from LULUCF - Forest Land,World Bank,Environment · EN.GHG.CO2.LU.FL.MT.CE.AR5,1166,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most cereal produced,World Bank,Agriculture · AG.PRD.CREL.MT,1168,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest cereal yield,World Bank,Agriculture · AG.YLD.CREL.KG,1169,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest total greenhouse gas emissions including LULUCF,World Bank,Environment · EN.GHG.ALL.LU.MT.CE.AR5,1170,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest final consumption expenditure,World Bank,Economy · NE.CON.TOTL.CN,1173,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest general government final consumption expenditure,World Bank,Economy · NE.CON.GOVT.CN,1174,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest investment share,World Bank,Economy · NE.GDI.TOTL.ZS,1177,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross capital formation,World Bank,Economy · NE.GDI.TOTL.CD,1178,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross national expenditure,World Bank,Economy · NE.DAB.TOTL.CN,1179,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest households and NPISHs Final consumption expenditure,World Bank,Economy · NE.CON.PRVT.CN,1180,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest households and NPISHs final consumption expenditure: linked series,World Bank,Economy · NE.CON.PRVT.CN.AD,1181,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest final consumption expenditure,World Bank,Economy · NE.CON.TOTL.KN,1182,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest general government final consumption expenditure,World Bank,Economy · NE.CON.GOVT.KN,1184,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest households and NPISHs Final consumption expenditure,World Bank,Economy · NE.CON.PRVT.KN,1185,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest households and NPISHs Final consumption expenditure,World Bank,Economy · NE.CON.PRVT.KD,1187,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest households and NPISHs Final consumption expenditure per capita,World Bank,Economy · NE.CON.PRVT.PC.KD,1188,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest general government final consumption expenditure,World Bank,Economy · NE.CON.GOVT.KD,1189,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross national expenditure deflator,World Bank,Economy · NE.DAB.DEFL.ZS,1190,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest households and NPISHs Final consumption expenditure per capita, PPP",World Bank,Development · NE.CON.PCAP.PP.CD,1193,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest households and NPISHs Final consumption expenditure, PPP",World Bank,Economy · NE.CON.PRVT.PP.CD,1194,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross savings rate,World Bank,Economy · NY.GNS.ICTR.ZS,1196,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. yield",FAOSTAT,Agriculture · QCL:'01379.90:5412,1198,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Figs harvested area,FAOSTAT,Agriculture · QCL:'01315:5312,1200,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
